ATHENEE ROYAL RENE MAGRITTE;Secondaire ordinaire;Rue du Collège;16;6200
INSTITUT SAINTE-MARIE;Secondaire ordinaire;Rue Neuve;26;6200
INSTITUT SAINT-JOSEPH;Secondaire ordinaire;Place Jean Guyot;1;6200
INSTITUT SAINTE-MARIE;Secondaire ordinaire;Place d'Arenberg;20;6200
COLLEGE SAINT PIE X;Secondaire ordinaire;Rue Lloyd George;15;6200
ATHENEE ROYAL JOURDAN;Secondaire ordinaire;Rue de Fleurjoux;3;6220
INSTITUT NOTRE-DAME;Secondaire ordinaire;Rue de Bruxelles;97;6220
ATHENEE ROYAL LOUIS DELATTRE;Secondaire ordinaire;Rue de l'Athénée;32;6140
INSTITUT NOTRE-DAME DE LOVERVAL;Secondaire ordinaire;Chaussée de Philippeville;35;6280
COLLEGE SAINT-AUGUSTIN;Secondaire ordinaire;Avenue Astrid;13;6280
INSTITUT SAINTE-THERESE;Secondaire ordinaire;Grand'Rue;79;7170
ATHENEE ROYAL PONT-A-CELLES;Secondaire ordinaire;Rue de l'Eglise;107B;6230
INSTITUT SAINTE-MARIE;Secondaire ordinaire;Rue de l'Eglise;7;6210
INSTITUT TECHNIQUE ET COMMERCIAL DES AUMONIERS DU TRAVAIL;Secondaire ordinaire;Rue de Caraman;13;7300
I.E.S.C.A. INSTITUT D'ENSEIGNEMENT SECONDAIRE COMPLEMENTAIRE CATHOLIQUE;Secondaire ordinaire;Rue de Mons;63;7301
ATHENEE ROYAL DOUR;Secondaire ordinaire;Rue de l'Athénée;23;7370
INSTITUT LA SAINTE-UNION;Secondaire ordinaire;Rue du Roi Albert;10;7370
INSTITUT DU SACRE-COEUR;Secondaire ordinaire;Rue des Dames;77;7080
ATHENEE ROYAL MONS I;Secondaire ordinaire;Rue de l'Athénée;4;7000
ATHENEE ROYAL MARGUERITE BERVOETS;Secondaire ordinaire;Avenue Victor Maistriau;11;7000
INSTITUT SAINT-FERDINAND;Secondaire ordinaire;Avenue Maréchal Foch;824;7012
CENTRE SCOLAIRE SAINT-STANISLAS;Secondaire ordinaire;Rue des Dominicains;15;7000
INSTITUT DE LA SAINTE-FAMILLE;Secondaire ordinaire;Avenue du Tir;12;7000
INSTITUT TECHNIQUE SAINT-LUC;Secondaire ordinaire;Rue Saint-Luc;3;7000
ECOLE DU FUTUR;Secondaire ordinaire;Rue des Etampes;2;7000
ACADEMIE PROVINCIALE DES METIERS;Secondaire ordinaire;Bld Président Kennedy;10;7000
INSTITUT TECHNIQUE DES URSULINES;Secondaire ordinaire;Avenue du Tir;12;7000
INSTITUT D'ENSEIGNEMENT SECONDAIRE PARAMEDICAL PROVINCIAL;Secondaire ordinaire;Bld Président Kennedy;2A;7000
ATHENEE PROVINCIAL JEAN D'AVESNES;Secondaire ordinaire;Av du Gouverneur E. Cornez;1;7000
INSTITUT SAINT-LUC;Secondaire ordinaire;Rue Saint-Luc;3;7000
INSTITUT DU SACRE COEUR - ENSEIGNEMENT SECONDAIRE GENERAL;Secondaire ordinaire;Rue des Dominicains;9;7000
INSTITUT COMMUNAL D'ENSEIGNEMENT SECONDAIRE;Secondaire ordinaire;Grand-Place;;7390
ATHENEE ROYAL DE QUIEVRAIN;Secondaire ordinaire;Rue Debast;26;7380
CENTRE SCOLAIRE DON BOSCO;Secondaire ordinaire;Rue Grande;21;7380
ATHENEE ROYAL SAINT-GHISLAIN;Secondaire ordinaire;Avenue de l'Enseignement;20;7330
LYCEE DE LA COMMUNAUTE FRANCAISE CHARLES PLISNIER;Secondaire ordinaire;Rue de Sas;75;7330
COLLEGE SAINTE-MARIE;Secondaire ordinaire;Rue du Port;115-117;7330
LYCEE PROVINCIAL D'ENSEIGNEMENT TECHNIQUE DU HAINAUT;Secondaire ordinaire;Avenue de l'Enseignement;45;7330
INSTITUT SAINT-JOSEPH;Secondaire ordinaire;Avenue de l'Enseignement;10;7330
ATHENEE ROYAL FERNAND JACQUEMIN;Secondaire ordinaire;Chaussée de Warneton;26;7780
INSTITUT SAINT-HENRI;Secondaire ordinaire;Rue du Commerce;21;7780
INSTITUT SAINT-CHARLES;Secondaire ordinaire;Place de la Résistance;10;7711
INSTITUT COMMUNAL D'ENSEIGNEMENT TECHNIQUE;Secondaire ordinaire;Rue de France;65;7711
COLLEGE SAINTE-MARIE;Secondaire ordinaire;Rue Léopold;61;7700
COLLEGE SAINTE-MARIE D.O.A.;Secondaire ordinaire;Rue de Tournai;17;7700
INSTITUT DU SACRE-COEUR;Secondaire ordinaire;Rue du Val;43;7700
INSTITUT DES FRERES MARISTES;Secondaire ordinaire;Rue des Etudiants;2;7700
INSTITUT TECHNIQUE SAINT-GABRIEL;Secondaire ordinaire;Rue de Mons;80;7090
INSTITUT NOTRE-DAME DE BONNE-ESPERANCE;Secondaire ordinaire;Rue des Postes;101;7090
ATHENEE ROYAL D'ENGHIEN;Secondaire ordinaire;Rue Montgomery;73;7850
MAISON SAINT-AUGUSTIN (DOA);Secondaire ordinaire;Chaussée d'Ath;1;7850
COLLEGE SAINT-AUGUSTIN;Secondaire ordinaire;Chaussée d'Ath;1;7850
INSTITUT SAINT-AUGUSTIN;Secondaire ordinaire;Chaussée d'Ath;1;7850
ATHENEE ROYAL LA LOUVIERE;Secondaire ordinaire;Rue de Bouvy;15;7100
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE LEON HUREZ;Secondaire ordinaire;Rue de Bonne Espérance;1;7100
INSTITUT TECHNIQUE SAINT-JOSEPH (D2-D3);Secondaire ordinaire;Rue Gustave Boël;23;7100
INSTITUT SAINT-JOSEPH (D2-D3);Secondaire ordinaire;Rue Gustave Boël;55;7100
INSTITUT SAINTE-MARIE;Secondaire ordinaire;Rue de Bouvy;35;7100
ATHENEE PROVINCIAL;Secondaire ordinaire;Boulevard du Tivoli;2B;7100
INSTITUT SAINT-JOSEPH D.O.A.;Secondaire ordinaire;Rue Gustave Boël;55;7100
INSTITUT PROVINCIAL DE NURSING DU CENTRE;Secondaire ordinaire;Rue Ernest Milcamps;13B;7100
ATHENEE ROYAL RENE MAGRITTE;Secondaire ordinaire;Rue François Watterman;27;7860
COLLEGE VISITATION - LA BERLIERE;Secondaire ordinaire;Parvis Saint-Pierre;13;7860
ATHENEE ROYAL JULES BORDET;Secondaire ordinaire;Boulevard Roosevelt;27;7060
